FF_NDB,SR_NDB,food_category_id,FF Food description,SR Food description,Nutrient_id,rank,FF_Component,SR_Component,unit_name,SR Mean per 100g,SR Min,SR Max, Std_Error,SR Num_Data_pts,FF Mean per 100g,FF Min,FF Max,FF Median,FF data_points,FF Publication Date
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1089,5400,"Iron, Fe","Iron, Fe",MG,0.49,0.22,1.1,0.073,11,0.45,0.22,1.1,0.27,12,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1180,7220,"Choline, total","Choline, total",MG,14.1,,,,0,14.1,,,14.1,1,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1293,12900,"Fatty acids, total polyunsaturated","Fatty acids, total polyunsaturated",G,1.386,,,,0,1.2,,,,,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1091,5600,"Phosphorus, P","Phosphorus, P",MG,627,411,760,32.99,11,634,411,760,664,12,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1008,300,Energy,Energy,KCAL,420,,,,0,421,,,,,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1178,7300,Vitamin B-12,Vitamin B-12,UG,1.4,1.1,1.8,0.162,5,1.35,1.1,1.8,1.2,6,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1109,7905,Vitamin E (alpha-tocopherol),Vitamin E (alpha-tocopherol),MG,0.53,0.35,0.68,0.03,5,0.51,0.35,0.68,0.52,6,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1128,8300,"Tocotrienol, alpha","Tocotrienol, alpha",MG,0,0,0,0,5,0,0,0,0,6,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1007,1000,Ash,Ash,G,7.18,6.63,8.91,0.216,11,7.15,6.63,8.91,6.95,12,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1175,6800,Vitamin B-6,Vitamin B-6,MG,0.081,0.065,0.095,0.005,5,0.081,0.065,0.095,0.082,6,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1103,6200,"Selenium, Se","Selenium, Se",UG,34.4,19.2,41.3,3.91,5,35,19.2,41.3,38.1,6,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1185,8800,Vitamin K (phylloquinone),Vitamin K (phylloquinone),UG,1.7,1.5,1.9,,2,1.7,1.5,1.9,1.7,2,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1013,1900,Lactose,Lactose,G,0,,,,1,0,0,0,0,2,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1075,2100,Galactose,Galactose,G,0.07,,,,1,0.07,0.07,0.07,0.07,2,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1184,8900,Vitamin K (Dihydrophylloquinone),Dihydrophylloquinone,UG,0,0,0,,2,0,0,0,0,2,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1101,6100,"Manganese, Mn","Manganese, Mn",MG,0.071,0.037,0.16,0.011,11,0.066,0.037,0.16,0.044,12,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1130,8500,"Tocotrienol, gamma","Tocotrienol, gamma",MG,0,0,0,0,5,0,0,0,0,6,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1292,11400,"Fatty acids, total monounsaturated","Fatty acids, total monounsaturated",G,7.13,,,,0,6.4,,,,,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1005,1110,"Carbohydrate, by difference","Carbohydrate, by difference",G,13.91,,,,0,12.4,,,,,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1106,7420,"Vitamin A, RAE","Vitamin A, RAE",UG,262,,,,0,228,,,,,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1253,15700,Cholesterol,Cholesterol,MG,86,73,102,5.26,5,87,73,102,88,6,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1010,1600,Sucrose,Sucrose,G,0,,,,1,0,0,0,0,2,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1095,5900,"Zinc, Zn","Zinc, Zn",MG,4.2,1.62,5.39,0.309,11,4.33,1.62,5.39,4.81,12,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1166,6500,Riboflavin,Riboflavin,MG,0.358,0.27,0.41,0.028,5,0.345,0.27,0.41,0.36,6,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1090,5500,"Magnesium, Mg","Magnesium, Mg",MG,34,25,39,1.326,11,34.9,25,38.5,36.5,12,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1098,6000,"Copper, Cu","Copper, Cu",MG,0.04,0.029,0.05,0.002,11,0.04,0.029,0.05,0.04,12,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1092,5700,"Potassium, K","Potassium, K",MG,180,121,252,9.294,11,184,121,252,186,12,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1126,8100,"Tocopherol, gamma","Tocopherol, gamma",MG,0.01,0,0.05,0.01,5,0.01,0,0.05,0,6,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1167,6600,Niacin,Niacin,MG,0.08,0.03,0.14,0.016,5,0.078,0.03,0.14,0.07,6,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1063,1500,"Sugars, Total","Sugars, total",G,0.07,,,,0,0.07,,,,,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1165,6400,Thiamin,Thiamin,MG,0.026,0.01,0.03,0.004,5,0.027,0.01,0.03,0.03,6,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1087,5300,"Calcium, Ca","Calcium, Ca",MG,853,348,1070,56.673,11,884,348,1070,1020,12,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1105,7430,Retinol,Retinol,UG,255,,,,1,228,201,255,228,2,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1012,1800,Fructose,Fructose,G,0,,,,1,0,0,0,0,2,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1003,600,Protein,Protein,G,28.42,11.04,35.41,1.94,11,29.6,11,35.4,34.1,,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1183,8950,Vitamin K (Menaquinone-4),Menaquinone-4,UG,7.1,6.8,7.4,,2,7.1,6.8,7.4,7.1,2,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1170,6700,Pantothenic acid,Pantothenic acid,MG,0.45,0.42,0.48,0.018,3,0.457,0.42,0.48,0.465,4,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1014,2000,Maltose,Maltose,G,0,,,,1,0,0,0,0,2,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1127,8200,"Tocopherol, delta","Tocopherol, delta",MG,0,0,0,0,5,0,0,0,0,6,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1093,5800,"Sodium, Na","Sodium, Na",MG,1804,1440,2350,82.631,11,1750,1440,2350,1640,12,4/1/2019
