FF_NDB,SR_NDB,food_category_id,FF Food description,SR Food description,Nutrient_id,rank,FF_Component,SR_Component,unit_name,SR Mean per 100g,SR Min,SR Max, Std_Error,SR Num_Data_pts,FF Mean per 100g,FF Min,FF Max,FF Median,FF data_points,FF Publication Date
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1253,15700,Cholesterol,Cholesterol,MG,5,4,5,0.109,4,5,4,6,5,24,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1130,8500,"Tocotrienol, gamma","Tocotrienol, gamma",MG,0,0,0,0,12,0,0,0,0,6,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1170,6700,Pantothenic acid,Pantothenic acid,MG,0.361,0.331,0.4,0.014,4,0.368,0.33,0.393,0.374,6,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1218,17100,Tyrosine,Tyrosine,G,0.17,,,,0,0.167,0.14,0.21,0.16,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1211,16400,Threonine,Threonine,G,0.143,,,,0,0.158,0.13,0.2,0.16,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1087,5300,"Calcium, Ca","Calcium, Ca",MG,125,,,1.443,4,126,111,143,127,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1223,17600,Aspartic acid,Aspartic acid,G,0.288,,,,0,0.286,0.23,0.37,0.28,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1180,7220,"Choline, total","Choline, total",MG,17.7,,,,0,17.4,16,19.4,17,6,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1226,17900,Proline,Proline,G,0.332,,,,0,0.349,0.29,0.44,0.345,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1131,8600,"Tocotrienol, delta","Tocotrienol, delta",MG,0,0,0,0,12,0,0,0,0,6,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1126,8100,"Tocopherol, gamma","Tocopherol, gamma",MG,0,0,0,0,12,0,0,0,0,6,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1008,300,Energy,Energy,KCAL,42,,,,0,43,,,,,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1293,12900,"Fatty acids, total polyunsaturated","Fatty acids, total polyunsaturated",G,0.035,,,,0,0.032,0.03,0.04,0.03,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1013,1900,Lactose,Lactose,G,5.2,4.84,6.08,0.104,12,4.96,4.59,5.84,4.94,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1112,8720,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),UG,1.2,0.3,1.7,0.068,24,1.06,0,2.16,1.04,24,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1178,7300,Vitamin B-12,Vitamin B-12,UG,0.47,,,0.019,4,0.61,0.51,0.84,0.58,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1010,1600,Sucrose,Sucrose,G,0,0,0,0,12,0,0,0,0,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1167,6600,Niacin,Niacin,MG,0.093,0.081,0.115,0.003,12,0.113,0.08,0.14,0.105,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1092,5700,"Potassium, K","Potassium, K",MG,150,,,1.088,11,159,150,191,156,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1091,5600,"Phosphorus, P","Phosphorus, P",MG,95,86,100,0.368,21,103,93,115,103,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1215,16800,Methionine,Methionine,G,0.088,,,,0,0.092,0.08,0.12,0.09,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1214,16700,Lysine,Lysine,G,0.282,,,,0,0.308,0.27,0.38,0.3,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1227,18000,Serine,Serine,G,0.203,,,,0,0.194,0.16,0.24,0.19,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1129,8400,"Tocotrienol, beta","Tocotrienol, beta",MG,0,0,0,0,12,0,0,0,0,6,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1095,5900,"Zinc, Zn","Zinc, Zn",MG,0.42,,,0.003,11,0.43,0.37,0.48,0.43,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1003,600,Protein,Protein,G,3.37,3.26,4.03,0.061,12,3.38,3.06,4.02,3.38,,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1101,6100,"Manganese, Mn","Manganese, Mn",MG,0.003,,,0,12,0,0,0.003,0,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1093,5800,"Sodium, Na","Sodium, Na",MG,44,37,58,0.76,23,39,36,48,38,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1012,1800,Fructose,Fructose,G,0,0,0,0,12,0,0,0,0,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1110,8650,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,48,11,67,2.706,24,42.4,,,,,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1075,2100,Galactose,Galactose,G,0,0,0,0,12,0,0,0,0,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1063,1500,"Sugars, Total","Sugars, total",G,5.2,4.84,6.08,0.104,12,4.96,,,,,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1225,17800,Glycine,Glycine,G,0.067,,,,0,0.069,0.06,0.09,0.07,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1106,7420,"Vitamin A, RAE","Vitamin A, RAE",UG,58,,,,0,58,,,,,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1177,6900,"Folate, total","Folate, total",UG,5,4,5,0.083,12,2,0,7,0,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1224,17700,Glutamic acid,Glutamic acid,G,0.756,,,,0,0.809,0.67,1.07,0.78,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1122,7530,Lycopene,Lycopene,UG,0,,,,0,0,0,0,0,6,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1220,17300,Arginine,Arginine,G,0.096,,,,0,0.128,0.11,0.16,0.12,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1011,1700,Glucose,Glucose (dextrose),G,0,0,0,0,12,0,0,0,0,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1098,6000,"Copper, Cu","Copper, Cu",MG,0.01,,,0.001,12,0.001,0,0.006,0,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1175,6800,Vitamin B-6,Vitamin B-6,MG,0.037,0.032,0.044,0.001,12,0.06,0.054,0.069,0.061,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1258,9700,"Fatty acids, total saturated","Fatty acids, total saturated",G,0.633,,,,0,0.568,0.5,0.7,0.555,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1219,17200,Valine,Valine,G,0.22,,,,0,0.21,0.17,0.28,0.205,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1089,5400,"Iron, Fe","Iron, Fe",MG,0.03,,,0.004,4,0,0,0,0,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1166,6500,Riboflavin,Riboflavin,MG,0.185,0.16,0.22,0.005,12,0.14,0.114,0.176,0.141,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1127,8200,"Tocopherol, delta","Tocopherol, delta",MG,0,0,0,0,12,0,0,0,0,6,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1221,17400,Histidine,Histidine,G,0.101,,,,0,0.099,0.09,0.12,0.1,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1213,16600,Leucine,Leucine,G,0.319,,,,0,0.342,0.29,0.44,0.33,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1007,1000,Ash,Ash,G,0.75,0.7,0.89,0.014,12,0.8,0.52,1.55,0.72,24,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1125,8000,"Tocopherol, beta","Tocopherol, beta",MG,0,0,0,0,12,0,0,0,0,6,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1217,17000,Phenylalanine,Phenylalanine,G,0.174,,,,0,0.168,0.14,0.21,0.16,12,12/16/2019
